Unnamed: 0,rank,disr,diss,dior,dios,diar,tots,rank.1,disr.1,diss.1,dior.1,dios.1,diar.1,tots.1,label
0,484.9,0.0,0.0,4.4,2.0,0.5,2.0,221.96018161423055,0.0,0.0,2.716206504995115,0.816496580927726,0.8498365855987975,0.816496580927726,0.0
1,475.4,0.0,0.0,2.2,1.2,0.0,1.2,214.27718289895245,0.0,0.0,1.3984117975602022,0.9189365834726816,0.0,0.9189365834726816,0.0
2,468.8,0.0,0.0,2.9,1.5,0.0,1.5,209.54702468791,0.0,0.0,1.100504934614612,0.5270462766947299,0.0,0.5270462766947299,0.0
3,467.8,0.0,0.0,0.6,0.5,0.0,0.5,209.7298791832538,0.0,0.0,0.8432740427115678,0.5270462766947299,0.0,0.5270462766947299,0.0
4,467.3,0.0,0.0,0.6,0.4,0.0,0.4,209.931232126671,0.0,0.0,0.699205898780101,0.5163977794943223,0.0,0.5163977794943223,0.0
5,463.2,0.0,0.0,1.2,0.4,0.0,0.4,203.68046870854684,0.0,0.0,0.9189365834726816,0.6992058987801011,0.0,0.6992058987801011,0.0
6,461.5,0.0,0.0,0.9,0.9,0.0,0.9,202.49293540488983,0.0,0.0,0.9944289260117531,0.8755950357709131,0.0,0.8755950357709131,0.0
7,460.9,0.0,0.0,0.5,0.2,0.0,0.2,202.0343480148308,0.0,0.0,0.7071067811865476,0.4216370213557839,0.0,0.4216370213557839,0.0
8,460.8,0.0,0.0,0.2,0.1,0.0,0.1,201.9355232631336,0.0,0.0,0.4216370213557839,0.3162277660168379,0.0,0.3162277660168379,0.0
9,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,426.6666666666667,0.0,0.0,0.0,0.0,0.0,0.0,181.01933598375615,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,461.4,0.0,0.0,0.3,0.2,0.0,0.2,202.53515469885443,0.0,0.0,0.6749485577105528,0.4216370213557839,0.0,0.4216370213557839,0.0
12,460.8,0.0,0.0,0.5,0.1,0.0,0.1,201.9355232631336,0.0,0.0,0.7071067811865476,0.3162277660168379,0.0,0.3162277660168379,0.0
13,461.8,0.0,0.0,1.3,0.9,0.0,0.9,202.24176950702673,0.0,0.0,0.9486832980505138,0.5676462121975466,0.0,0.5676462121975466,0.0
14,464.0,0.0,0.0,1.0,0.7,0.0,0.7,201.148369783766,0.0,0.0,0.4714045207910317,0.8232726023485646,0.0,0.8232726023485646,0.0
15,460.8,0.0,0.0,1.1,0.8,0.0,0.8,201.9355232631336,0.0,0.0,0.8755950357709131,0.7888106377466155,0.0,0.7888106377466155,0.0
16,461.0,0.0,0.0,0.4,0.2,0.0,0.2,201.711014407576,0.0,0.0,0.8432740427115679,0.6324555320336759,0.0,0.6324555320336759,0.0
17,462.1,0.0,0.0,0.2,0.2,0.0,0.2,202.3431903145413,0.0,0.0,0.4216370213557839,0.4216370213557839,0.0,0.4216370213557839,0.0
18,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,461.1,0.0,0.0,0.0,0.0,0.0,0.0,202.23333608043512,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,462.3,0.0,0.0,0.0,0.0,0.0,0.0,202.4132461629481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,462.0,0.0,0.0,0.0,0.0,0.0,0.0,200.594671470162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,460.9,0.0,0.0,0.2,0.1,0.0,0.1,201.82305231178236,0.0,0.0,0.4216370213557839,0.3162277660168379,0.0,0.3162277660168379,0.0
25,460.8,0.0,0.0,0.5,0.5,0.0,0.5,201.9355232631336,0.0,0.0,0.8498365855987975,0.7071067811865476,0.0,0.7071067811865476,0.0
26,462.2,0.0,0.0,0.5,0.3,0.1,0.6,200.94543206220604,0.0,0.0,0.5270462766947299,0.4830458915396479,0.3162277660168379,0.8432740427115678,0.0
27,460.8,0.0,0.0,0.1,0.1,0.5,0.4,201.9355232631336,0.0,0.0,0.3162277660168379,0.3162277660168379,0.8498365855987975,0.5163977794943223,0.0
28,460.8,0.0,0.0,0.3,0.6,0.7,1.0,201.9355232631336,0.0,0.0,0.4830458915396479,0.699205898780101,1.0593499054713802,0.816496580927726,0.0
29,460.8,0.0,0.0,1.4,0.5,0.3,0.5,201.9355232631336,0.0,0.0,1.07496769977314,0.7071067811865476,0.4830458915396479,0.7071067811865476,0.0
30,460.8,0.0,0.0,0.9,0.7,0.0,0.7,201.9355232631336,0.0,0.0,0.7378647873726218,0.6749485577105528,0.0,0.6749485577105528,0.0
31,460.8,0.0,0.0,0.5,0.3,0.0,0.3,201.9355232631336,0.0,0.0,0.5270462766947299,0.4830458915396479,0.0,0.4830458915396479,0.0
32,460.8,0.0,0.0,0.4,0.4,0.0,0.4,201.9355232631336,0.0,0.0,0.6992058987801011,0.6992058987801011,0.0,0.6992058987801011,0.0
33,460.8,0.0,0.0,0.4,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.5163977794943222,0.0,0.0,0.0,0.0
34,460.8,0.0,0.0,0.1,0.1,0.0,0.1,201.9355232631336,0.0,0.0,0.3162277660168379,0.3162277660168379,0.0,0.3162277660168379,0.0
35,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,460.8,0.0,0.0,0.1,0.1,0.0,0.1,201.9355232631336,0.0,0.0,0.3162277660168379,0.3162277660168379,0.0,0.3162277660168379,0.0
38,460.8,0.0,0.0,0.0,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,460.8,0.0,0.0,0.1,0.0,0.0,0.0,201.9355232631336,0.0,0.0,0.3162277660168379,0.0,0.0,0.0,0.0
